,REF_DATE,GEO,DGUID,National Occupational Classification,Job vacancy characteristics,Statistics,VALUE,STATUS
7632954,2016-07,Alberta,2016A000248,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,710.0,D
7638143,2016-07,Alberta,2016A000248,Sales and service occupations [6],Full-time,Job vacancies,10905.0,B
7638146,2016-07,Alberta,2016A000248,Sales and service occupations [6],Part-time,Job vacancies,7975.0,B
7647819,2016-07,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,7265.0,B
7647822,2016-07,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,895.0,D
7660445,2016-07,Alberta,2016A000248,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,1055.0,C
7665047,2016-07,Alberta,2016A000248,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1145.0,C
7675785,2016-07,British Columbia,2016A000259,Management occupations [0],Full-time,Job vacancies,3870.0,B
7684281,2016-07,British Columbia,2016A000259,"Business, finance and administration occupations [1]",Full-time,Job vacancies,5185.0,B
7684284,2016-07,British Columbia,2016A000259,"Business, finance and administration occupations [1]",Part-time,Job vacancies,1690.0,C
7692895,2016-07,British Columbia,2016A000259,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,3700.0,B
7692898,2016-07,British Columbia,2016A000259,Natural and applied sciences and related occupations [2],Part-time,Job vacancies,160.0,D
7702335,2016-07,British Columbia,2016A000259,Health occupations [3],Full-time,Job vacancies,2415.0,B
7702338,2016-07,British Columbia,2016A000259,Health occupations [3],Part-time,Job vacancies,2900.0,B
7708235,2016-07,British Columbia,2016A000259,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1830.0,B
7708238,2016-07,British Columbia,2016A000259,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,2050.0,C
7714607,2016-07,British Columbia,2016A000259,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,695.0,D
7714610,2016-07,British Columbia,2016A000259,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,825.0,D
7719799,2016-07,British Columbia,2016A000259,Sales and service occupations [6],Full-time,Job vacancies,17125.0,B
7719802,2016-07,British Columbia,2016A000259,Sales and service occupations [6],Part-time,Job vacancies,13240.0,B
7729475,2016-07,British Columbia,2016A000259,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,10520.0,B
7729478,2016-07,British Columbia,2016A000259,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,1495.0,D
7742101,2016-07,British Columbia,2016A000259,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,3760.0,D
7746703,2016-07,British Columbia,2016A000259,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1855.0,C
7746706,2016-07,British Columbia,2016A000259,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,830.0,D
7801455,2016-07,Yukon,2016A000260,Sales and service occupations [6],Full-time,Job vacancies,200.0,D
7801458,2016-07,Yukon,2016A000260,Sales and service occupations [6],Part-time,Job vacancies,95.0,D
7839097,2016-07,Northwest Territories,2016A000261,Management occupations [0],Full-time,Job vacancies,55.0,D
7847593,2016-07,Northwest Territories,2016A000261,"Business, finance and administration occupations [1]",Full-time,Job vacancies,60.0,D
7871547,2016-07,Northwest Territories,2016A000261,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,35.0,D
7883111,2016-07,Northwest Territories,2016A000261,Sales and service occupations [6],Full-time,Job vacancies,115.0,D
7920753,2016-07,Nunavut,2016A000262,Management occupations [0],Full-time,Job vacancies,50.0,D
7929249,2016-07,Nunavut,2016A000262,"Business, finance and administration occupations [1]",Full-time,Job vacancies,35.0,D
7937863,2016-07,Nunavut,2016A000262,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,5.0,D
7964767,2016-07,Nunavut,2016A000262,Sales and service occupations [6],Full-time,Job vacancies,70.0,D
8084065,2016-10,Newfoundland and Labrador,2016A000210,Management occupations [0],Full-time,Job vacancies,165.0,D
8092561,2016-10,Newfoundland and Labrador,2016A000210,"Business, finance and administration occupations [1]",Full-time,Job vacancies,225.0,C
8092564,2016-10,Newfoundland and Labrador,2016A000210,"Business, finance and administration occupations [1]",Part-time,Job vacancies,80.0,B
8101175,2016-10,Newfoundland and Labrador,2016A000210,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,145.0,D
8110615,2016-10,Newfoundland and Labrador,2016A000210,Health occupations [3],Full-time,Job vacancies,165.0,D
8110618,2016-10,Newfoundland and Labrador,2016A000210,Health occupations [3],Part-time,Job vacancies,280.0,B
8116515,2016-10,Newfoundland and Labrador,2016A000210,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,65.0,D
8128079,2016-10,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Full-time,Job vacancies,490.0,D
8128082,2016-10,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Part-time,Job vacancies,750.0,C
8137755,2016-10,Newfoundland and Labrador,2016A000210,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,265.0,D
8209735,2016-10,Prince Edward Island,2016A000211,Sales and service occupations [6],Full-time,Job vacancies,150.0,D
8209738,2016-10,Prince Edward Island,2016A000211,Sales and service occupations [6],Part-time,Job vacancies,265.0,D
8236639,2016-10,Prince Edward Island,2016A000211,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,125.0,C
8247377,2016-10,Nova Scotia,2016A000212,Management occupations [0],Full-time,Job vacancies,285.0,C
8255873,2016-10,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Full-time,Job vacancies,420.0,C
8255876,2016-10,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Part-time,Job vacancies,225.0,D
8264487,2016-10,Nova Scotia,2016A000212,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,420.0,C
8273927,2016-10,Nova Scotia,2016A000212,Health occupations [3],Full-time,Job vacancies,430.0,D
8273930,2016-10,Nova Scotia,2016A000212,Health occupations [3],Part-time,Job vacancies,560.0,C
8279827,2016-10,Nova Scotia,2016A000212,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,235.0,D
8279830,2016-10,Nova Scotia,2016A000212,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,210.0,D
8286199,2016-10,Nova Scotia,2016A000212,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,100.0,D
8291391,2016-10,Nova Scotia,2016A000212,Sales and service occupations [6],Full-time,Job vacancies,1325.0,B
8291394,2016-10,Nova Scotia,2016A000212,Sales and service occupations [6],Part-time,Job vacancies,2010.0,C
8301067,2016-10,Nova Scotia,2016A000212,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,600.0,C
8318295,2016-10,Nova Scotia,2016A000212,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,285.0,C
8318298,2016-10,Nova Scotia,2016A000212,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,20.0,D
8329033,2016-10,New Brunswick,2016A000213,Management occupations [0],Full-time,Job vacancies,215.0,C
8329036,2016-10,New Brunswick,2016A000213,Management occupations [0],Part-time,Job vacancies,15.0,D
8337529,2016-10,New Brunswick,2016A000213,"Business, finance and administration occupations [1]",Full-time,Job vacancies,365.0,C
8337532,2016-10,New Brunswick,2016A000213,"Business, finance and administration occupations [1]",Part-time,Job vacancies,180.0,B
8346143,2016-10,New Brunswick,2016A000213,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,235.0,C
8355583,2016-10,New Brunswick,2016A000213,Health occupations [3],Full-time,Job vacancies,155.0,D
8355586,2016-10,New Brunswick,2016A000213,Health occupations [3],Part-time,Job vacancies,245.0,D
8361483,2016-10,New Brunswick,2016A000213,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,135.0,D
8373047,2016-10,New Brunswick,2016A000213,Sales and service occupations [6],Full-time,Job vacancies,1195.0,C
8373050,2016-10,New Brunswick,2016A000213,Sales and service occupations [6],Part-time,Job vacancies,1200.0,B
8382723,2016-10,New Brunswick,2016A000213,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,495.0,C
8399951,2016-10,New Brunswick,2016A000213,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,765.0,C
8410689,2016-10,Quebec,2016A000224,Management occupations [0],Full-time,Job vacancies,3680.0,B
8419185,2016-10,Quebec,2016A000224,"Business, finance and administration occupations [1]",Full-time,Job vacancies,7470.0,B
8419188,2016-10,Quebec,2016A000224,"Business, finance and administration occupations [1]",Part-time,Job vacancies,1310.0,C
8427799,2016-10,Quebec,2016A000224,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,6380.0,B
8437239,2016-10,Quebec,2016A000224,Health occupations [3],Full-time,Job vacancies,1750.0,B
8437242,2016-10,Quebec,2016A000224,Health occupations [3],Part-time,Job vacancies,2445.0,B
8443139,2016-10,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1820.0,B
8443142,2016-10,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,865.0,B
8449511,2016-10,Quebec,2016A000224,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,1095.0,C
8454703,2016-10,Quebec,2016A000224,Sales and service occupations [6],Full-time,Job vacancies,9365.0,A
8454706,2016-10,Quebec,2016A000224,Sales and service occupations [6],Part-time,Job vacancies,9685.0,B
8464379,2016-10,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,7300.0,B
8464382,2016-10,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,1390.0,D
8477005,2016-10,Quebec,2016A000224,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,830.0,D
8481607,2016-10,Quebec,2016A000224,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,5325.0,B
8481610,2016-10,Quebec,2016A000224,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,135.0,D
8492345,2016-10,Ontario,2016A000235,Management occupations [0],Full-time,Job vacancies,10415.0,A
8500841,2016-10,Ontario,2016A000235,"Business, finance and administration occupations [1]",Full-time,Job vacancies,15195.0,A
8500844,2016-10,Ontario,2016A000235,"Business, finance and administration occupations [1]",Part-time,Job vacancies,4355.0,B
8509455,2016-10,Ontario,2016A000235,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,11125.0,B
8509458,2016-10,Ontario,2016A000235,Natural and applied sciences and related occupations [2],Part-time,Job vacancies,155.0,D
8518895,2016-10,Ontario,2016A000235,Health occupations [3],Full-time,Job vacancies,3105.0,B
8518898,2016-10,Ontario,2016A000235,Health occupations [3],Part-time,Job vacancies,5075.0,B
8524795,2016-10,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,4785.0,C
8524798,2016-10,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,4265.0,B
8531167,2016-10,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,1320.0,C
8531170,2016-10,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,2275.0,D
8536359,2016-10,Ontario,2016A000235,Sales and service occupations [6],Full-time,Job vacancies,26090.0,A
8536362,2016-10,Ontario,2016A000235,Sales and service occupations [6],Part-time,Job vacancies,33570.0,A
8546035,2016-10,Ontario,2016A000235,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,20605.0,D
8546038,2016-10,Ontario,2016A000235,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,4210.0,C
8558661,2016-10,Ontario,2016A000235,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,3440.0,C
8563263,2016-10,Ontario,2016A000235,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,6825.0,B
8563266,2016-10,Ontario,2016A000235,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,515.0,D
8574001,2016-10,Manitoba,2016A000246,Management occupations [0],Full-time,Job vacancies,545.0,C
8574004,2016-10,Manitoba,2016A000246,Management occupations [0],Part-time,Job vacancies,30.0,D
8582497,2016-10,Manitoba,2016A000246,"Business, finance and administration occupations [1]",Full-time,Job vacancies,925.0,B
8582500,2016-10,Manitoba,2016A000246,"Business, finance and administration occupations [1]",Part-time,Job vacancies,305.0,D
8591111,2016-10,Manitoba,2016A000246,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,350.0,C
8591114,2016-10,Manitoba,2016A000246,Natural and applied sciences and related occupations [2],Part-time,Job vacancies,20.0,D
8600551,2016-10,Manitoba,2016A000246,Health occupations [3],Full-time,Job vacancies,535.0,D
8600554,2016-10,Manitoba,2016A000246,Health occupations [3],Part-time,Job vacancies,465.0,D
8606451,2016-10,Manitoba,2016A000246,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,570.0,C
8606454,2016-10,Manitoba,2016A000246,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,315.0,D
8612823,2016-10,Manitoba,2016A000246,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,55.0,D
8612826,2016-10,Manitoba,2016A000246,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,55.0,D
8618015,2016-10,Manitoba,2016A000246,Sales and service occupations [6],Full-time,Job vacancies,1550.0,C
8618018,2016-10,Manitoba,2016A000246,Sales and service occupations [6],Part-time,Job vacancies,2240.0,C
8627691,2016-10,Manitoba,2016A000246,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,1555.0,C
8627694,2016-10,Manitoba,2016A000246,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,125.0,D
8644919,2016-10,Manitoba,2016A000246,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,370.0,B
8644922,2016-10,Manitoba,2016A000246,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,15.0,D
8655657,2016-10,Saskatchewan,2016A000247,Management occupations [0],Full-time,Job vacancies,620.0,D
8664153,2016-10,Saskatchewan,2016A000247,"Business, finance and administration occupations [1]",Full-time,Job vacancies,690.0,B
8664156,2016-10,Saskatchewan,2016A000247,"Business, finance and administration occupations [1]",Part-time,Job vacancies,195.0,D
8672767,2016-10,Saskatchewan,2016A000247,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,310.0,B
8682207,2016-10,Saskatchewan,2016A000247,Health occupations [3],Full-time,Job vacancies,265.0,C
8682210,2016-10,Saskatchewan,2016A000247,Health occupations [3],Part-time,Job vacancies,215.0,C
8688107,2016-10,Saskatchewan,2016A000247,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,265.0,C
8688110,2016-10,Saskatchewan,2016A000247,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,250.0,C
8694482,2016-10,Saskatchewan,2016A000247,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,75.0,D
8699671,2016-10,Saskatchewan,2016A000247,Sales and service occupations [6],Full-time,Job vacancies,1950.0,B
8699674,2016-10,Saskatchewan,2016A000247,Sales and service occupations [6],Part-time,Job vacancies,1830.0,B
8709347,2016-10,Saskatchewan,2016A000247,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,910.0,C
8726575,2016-10,Saskatchewan,2016A000247,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,100.0,D
8737313,2016-10,Alberta,2016A000248,Management occupations [0],Full-time,Job vacancies,2325.0,B
8737316,2016-10,Alberta,2016A000248,Management occupations [0],Part-time,Job vacancies,185.0,D
8745809,2016-10,Alberta,2016A000248,"Business, finance and administration occupations [1]",Full-time,Job vacancies,3030.0,B
8745812,2016-10,Alberta,2016A000248,"Business, finance and administration occupations [1]",Part-time,Job vacancies,865.0,D
8754423,2016-10,Alberta,2016A000248,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,1625.0,B
8763863,2016-10,Alberta,2016A000248,Health occupations [3],Full-time,Job vacancies,640.0,D
8763866,2016-10,Alberta,2016A000248,Health occupations [3],Part-time,Job vacancies,770.0,D
8769763,2016-10,Alberta,2016A000248,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1170.0,B
8769766,2016-10,Alberta,2016A000248,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,960.0,D
8776135,2016-10,Alberta,2016A000248,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,195.0,D
8776138,2016-10,Alberta,2016A000248,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,280.0,D
8781327,2016-10,Alberta,2016A000248,Sales and service occupations [6],Full-time,Job vacancies,10460.0,B
8781330,2016-10,Alberta,2016A000248,Sales and service occupations [6],Part-time,Job vacancies,8470.0,B
8791003,2016-10,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,5805.0,B
8791006,2016-10,Alberta,2016A000248,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,600.0,D
8803629,2016-10,Alberta,2016A000248,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,1495.0,D
8808231,2016-10,Alberta,2016A000248,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1005.0,D
8818969,2016-10,British Columbia,2016A000259,Management occupations [0],Full-time,Job vacancies,3220.0,B
8818972,2016-10,British Columbia,2016A000259,Management occupations [0],Part-time,Job vacancies,140.0,C
8827465,2016-10,British Columbia,2016A000259,"Business, finance and administration occupations [1]",Full-time,Job vacancies,4655.0,B
8827468,2016-10,British Columbia,2016A000259,"Business, finance and administration occupations [1]",Part-time,Job vacancies,1720.0,D
8836079,2016-10,British Columbia,2016A000259,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,3090.0,B
8845519,2016-10,British Columbia,2016A000259,Health occupations [3],Full-time,Job vacancies,2510.0,C
8845522,2016-10,British Columbia,2016A000259,Health occupations [3],Part-time,Job vacancies,2440.0,B
8851419,2016-10,British Columbia,2016A000259,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,1760.0,C
8851422,2016-10,British Columbia,2016A000259,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,1980.0,C
8857791,2016-10,British Columbia,2016A000259,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,980.0,D
8857794,2016-10,British Columbia,2016A000259,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,505.0,D
8862983,2016-10,British Columbia,2016A000259,Sales and service occupations [6],Full-time,Job vacancies,13975.0,B
8862986,2016-10,British Columbia,2016A000259,Sales and service occupations [6],Part-time,Job vacancies,14715.0,C
8872659,2016-10,British Columbia,2016A000259,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,9895.0,B
8872662,2016-10,British Columbia,2016A000259,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,1335.0,C
8889887,2016-10,British Columbia,2016A000259,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,1805.0,C
8889890,2016-10,British Columbia,2016A000259,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,375.0,D
8917735,2016-10,Yukon,2016A000260,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,10.0,D
8933078,2016-10,Yukon,2016A000260,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,30.0,D
8944639,2016-10,Yukon,2016A000260,Sales and service occupations [6],Full-time,Job vacancies,245.0,D
8944642,2016-10,Yukon,2016A000260,Sales and service occupations [6],Part-time,Job vacancies,115.0,D
8982281,2016-10,Northwest Territories,2016A000261,Management occupations [0],Full-time,Job vacancies,55.0,D
8990777,2016-10,Northwest Territories,2016A000261,"Business, finance and administration occupations [1]",Full-time,Job vacancies,60.0,D
9026295,2016-10,Northwest Territories,2016A000261,Sales and service occupations [6],Full-time,Job vacancies,75.0,D
9063937,2016-10,Nunavut,2016A000262,Management occupations [0],Full-time,Job vacancies,35.0,D
9072433,2016-10,Nunavut,2016A000262,"Business, finance and administration occupations [1]",Full-time,Job vacancies,35.0,D
9107951,2016-10,Nunavut,2016A000262,Sales and service occupations [6],Full-time,Job vacancies,30.0,D
9227249,2017-01,Newfoundland and Labrador,2016A000210,Management occupations [0],Full-time,Job vacancies,150.0,D
9235745,2017-01,Newfoundland and Labrador,2016A000210,"Business, finance and administration occupations [1]",Full-time,Job vacancies,210.0,D
9253802,2017-01,Newfoundland and Labrador,2016A000210,Health occupations [3],Part-time,Job vacancies,160.0,D
9266074,2017-01,Newfoundland and Labrador,2016A000210,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,25.0,A
9271263,2017-01,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Full-time,Job vacancies,420.0,D
9271266,2017-01,Newfoundland and Labrador,2016A000210,Sales and service occupations [6],Part-time,Job vacancies,485.0,D
9280939,2017-01,Newfoundland and Labrador,2016A000210,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,385.0,D
9298167,2017-01,Newfoundland and Labrador,2016A000210,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,70.0,D
9326015,2017-01,Prince Edward Island,2016A000211,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,35.0,D
9352919,2017-01,Prince Edward Island,2016A000211,Sales and service occupations [6],Full-time,Job vacancies,345.0,C
9390561,2017-01,Nova Scotia,2016A000212,Management occupations [0],Full-time,Job vacancies,260.0,C
9399057,2017-01,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Full-time,Job vacancies,375.0,C
9399060,2017-01,Nova Scotia,2016A000212,"Business, finance and administration occupations [1]",Part-time,Job vacancies,345.0,B
9407671,2017-01,Nova Scotia,2016A000212,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,360.0,D
9417111,2017-01,Nova Scotia,2016A000212,Health occupations [3],Full-time,Job vacancies,330.0,C
9417114,2017-01,Nova Scotia,2016A000212,Health occupations [3],Part-time,Job vacancies,485.0,B
9423011,2017-01,Nova Scotia,2016A000212,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,335.0,D
9423014,2017-01,Nova Scotia,2016A000212,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,210.0,D
9434575,2017-01,Nova Scotia,2016A000212,Sales and service occupations [6],Full-time,Job vacancies,1210.0,C
9434578,2017-01,Nova Scotia,2016A000212,Sales and service occupations [6],Part-time,Job vacancies,1335.0,B
9444251,2017-01,Nova Scotia,2016A000212,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,720.0,D
9444254,2017-01,Nova Scotia,2016A000212,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,175.0,D
9456880,2017-01,Nova Scotia,2016A000212,"Natural resources, agriculture and related production occupations [8]",Part-time,Job vacancies,20.0,D
9461479,2017-01,Nova Scotia,2016A000212,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,180.0,C
9461482,2017-01,Nova Scotia,2016A000212,Occupations in manufacturing and utilities [9],Part-time,Job vacancies,35.0,D
9472217,2017-01,New Brunswick,2016A000213,Management occupations [0],Full-time,Job vacancies,215.0,D
9472220,2017-01,New Brunswick,2016A000213,Management occupations [0],Part-time,Job vacancies,20.0,D
9480713,2017-01,New Brunswick,2016A000213,"Business, finance and administration occupations [1]",Full-time,Job vacancies,365.0,C
9480716,2017-01,New Brunswick,2016A000213,"Business, finance and administration occupations [1]",Part-time,Job vacancies,220.0,C
9489327,2017-01,New Brunswick,2016A000213,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,360.0,D
9498767,2017-01,New Brunswick,2016A000213,Health occupations [3],Full-time,Job vacancies,135.0,D
9498770,2017-01,New Brunswick,2016A000213,Health occupations [3],Part-time,Job vacancies,185.0,D
9504667,2017-01,New Brunswick,2016A000213,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,235.0,D
9504670,2017-01,New Brunswick,2016A000213,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,130.0,D
9516231,2017-01,New Brunswick,2016A000213,Sales and service occupations [6],Full-time,Job vacancies,905.0,C
9516234,2017-01,New Brunswick,2016A000213,Sales and service occupations [6],Part-time,Job vacancies,895.0,C
9525907,2017-01,New Brunswick,2016A000213,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,615.0,C
9525910,2017-01,New Brunswick,2016A000213,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,40.0,D
9538533,2017-01,New Brunswick,2016A000213,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,35.0,D
9538536,2017-01,New Brunswick,2016A000213,"Natural resources, agriculture and related production occupations [8]",Part-time,Job vacancies,15.0,D
9543135,2017-01,New Brunswick,2016A000213,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,630.0,D
9553873,2017-01,Quebec,2016A000224,Management occupations [0],Full-time,Job vacancies,3810.0,B
9553876,2017-01,Quebec,2016A000224,Management occupations [0],Part-time,Job vacancies,705.0,D
9562369,2017-01,Quebec,2016A000224,"Business, finance and administration occupations [1]",Full-time,Job vacancies,7295.0,B
9562372,2017-01,Quebec,2016A000224,"Business, finance and administration occupations [1]",Part-time,Job vacancies,1630.0,D
9570983,2017-01,Quebec,2016A000224,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,6185.0,B
9580423,2017-01,Quebec,2016A000224,Health occupations [3],Full-time,Job vacancies,2585.0,C
9580426,2017-01,Quebec,2016A000224,Health occupations [3],Part-time,Job vacancies,4350.0,C
9586323,2017-01,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,2305.0,B
9586326,2017-01,Quebec,2016A000224,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,770.0,B
9592695,2017-01,Quebec,2016A000224,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,2035.0,C
9592698,2017-01,Quebec,2016A000224,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,375.0,D
9597887,2017-01,Quebec,2016A000224,Sales and service occupations [6],Full-time,Job vacancies,11030.0,B
9597890,2017-01,Quebec,2016A000224,Sales and service occupations [6],Part-time,Job vacancies,7350.0,B
9607563,2017-01,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Full-time,Job vacancies,8490.0,B
9607566,2017-01,Quebec,2016A000224,"Trades, transport and equipment operators and related occupations [7]",Part-time,Job vacancies,875.0,C
9620189,2017-01,Quebec,2016A000224,"Natural resources, agriculture and related production occupations [8]",Full-time,Job vacancies,1025.0,D
9624791,2017-01,Quebec,2016A000224,Occupations in manufacturing and utilities [9],Full-time,Job vacancies,5530.0,B
9635529,2017-01,Ontario,2016A000235,Management occupations [0],Full-time,Job vacancies,10550.0,A
9635532,2017-01,Ontario,2016A000235,Management occupations [0],Part-time,Job vacancies,610.0,D
9644025,2017-01,Ontario,2016A000235,"Business, finance and administration occupations [1]",Full-time,Job vacancies,18325.0,B
9644028,2017-01,Ontario,2016A000235,"Business, finance and administration occupations [1]",Part-time,Job vacancies,5970.0,D
9652639,2017-01,Ontario,2016A000235,Natural and applied sciences and related occupations [2],Full-time,Job vacancies,12030.0,A
9662079,2017-01,Ontario,2016A000235,Health occupations [3],Full-time,Job vacancies,3950.0,C
9662082,2017-01,Ontario,2016A000235,Health occupations [3],Part-time,Job vacancies,5605.0,B
9667979,2017-01,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Full-time,Job vacancies,5440.0,B
9667982,2017-01,Ontario,2016A000235,"Occupations in education, law and social, community and government services [4]",Part-time,Job vacancies,4025.0,B
9674351,2017-01,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Full-time,Job vacancies,2270.0,C
9674354,2017-01,Ontario,2016A000235,"Occupations in art, culture, recreation and sport [5]",Part-time,Job vacancies,2545.0,D
